row_index,rebel_threshold,w1,peak_mutiny_mean,peak_mutiny_std,collapse_quarter_mean,collapse_quarter_std
264,0.6304150390625,0.01992919921875,77.94,39.17364420117179,10.4,5.71314274283428
265,0.6324658203125,0.01992919921875,77.316,39.00583833222919,10.8,5.946427498927402
266,0.6304150390625,0.054621582031250004,78.084,39.217906930380664,10.4,5.71314274283428
267,0.6304150390625,0.054621582031250004,78.084,39.217906930380664,10.4,5.71314274283428
268,0.6324658203125,0.01992919921875,77.316,39.00583833222919,10.8,5.946427498927402
269,0.6324658203125,0.054621582031250004,78.204,39.25636845150096,10.4,5.71314274283428
270,0.7004150390624999,0.05492919921875001,77.82000000000001,39.13833925960579,10.8,6.013318551349163
271,0.7024658203124999,0.05492919921875001,77.832,39.141804966046216,10.8,6.013318551349163
272,0.7004150390624999,0.01962158203125,71.014,39.541785291005766,11.6,6.437390775772433
273,0.7004150390624999,0.01962158203125,71.014,39.541785291005766,11.6,6.437390775772433
274,0.7024658203124999,0.05492919921875001,77.832,39.141804966046216,10.8,6.013318551349163
275,0.7024658203124999,0.01962158203125,70.314,39.84763962896673,11.8,6.615134163416491
276,0.6654150390625,0.03742919921875,77.22999999999999,38.985787153782084,10.6,5.851495535331118
277,0.5974658203125,0.03742919921875,78.268,39.27746549868003,10.0,5.513619500836088
278,0.6654150390625,0.07212158203125,76.93199999999999,38.922108062128395,10.6,5.851495535331118
279,0.6654150390625,0.07212158203125,76.93199999999999,38.922108062128395,10.6,5.851495535331118
280,0.5974658203125,0.03742919921875,78.268,39.27746549868003,10.0,5.513619500836088
281,0.5974658203125,0.07212158203125,96.926,3.8375075244225916,9.2,4.1182520563948
282,0.5954150390624999,0.07242919921875,97.306,3.8461284429930314,9.0,4.0
283,0.6674658203125,0.07242919921875,76.892,38.914247467990435,10.6,5.851495535331118
284,0.5954150390624999,0.03712158203125,78.06,39.210386379121545,10.0,5.513619500836088
285,0.5954150390624999,0.03712158203125,78.06,39.210386379121545,10.0,5.513619500836088
286,0.6674658203125,0.07242919921875,76.892,38.914247467990435,10.6,5.851495535331118
287,0.6674658203125,0.03712158203125,77.4,39.02614508249566,10.6,5.851495535331118
288,0.5910400390624999,0.03961669921875,77.606,39.07895781619566,8.8,5.230678732248808
289,0.6455908203124999,0.03961669921875,77.56800000000001,39.068894225457676,10.6,5.851495535331118
290,0.5910400390624999,0.05243408203125001,87.07,20.605410939847815,9.8,3.4292856398964493
291,0.5910400390624999,0.05243408203125001,87.07,20.605410939847815,9.8,3.4292856398964493
292,0.6455908203124999,0.03961669921875,77.56800000000001,39.068894225457676,10.6,5.851495535331118
293,0.6455908203124999,0.05243408203125001,76.958,38.92730476156807,10.4,5.71314274283428
294,0.6610400390625,0.07461669921875,78.71,38.077583956968695,10.6,5.851495535331118
295,0.7155908203125,0.07461669921875,77.2,38.97896868825547,10.6,5.851495535331118
296,0.6610400390625,0.01743408203125,77.838,39.143543222350225,11.0,6.099180272790763
297,0.6610400390625,0.01743408203125,77.838,39.143543222350225,11.0,6.099180272790763
298,0.7155908203125,0.07461669921875,77.2,38.97896868825547,10.6,5.851495535331118
299,0.7155908203125,0.01743408203125,68.134,41.09218689726796,12.0,6.723094525588644
300,0.6960400390625,0.02211669921875,75.25,38.73306081372863,11.6,6.437390775772433
301,0.6105908203125,0.02211669921875,77.97,39.182695159981016,10.2,5.6000000000000005
302,0.6960400390625,0.06993408203125001,78.134,39.23375872893139,10.6,5.851495535331118
303,0.6960400390625,0.06993408203125001,78.134,39.23375872893139,10.6,5.851495535331118
304,0.6105908203125,0.02211669921875,77.97,39.182695159981016,10.2,5.6000000000000005
305,0.6105908203125,0.06993408203125001,91.176,13.859647325960355,10.2,3.655133376499413
306,0.6260400390624999,0.057116699218750004,77.922,39.16825673935464,10.4,5.71314274283428
307,0.6805908203125,0.057116699218750004,77.884,39.15698946548368,10.6,5.851495535331118
308,0.6260400390624999,0.03493408203125,78.088,39.21916592687815,10.4,5.71314274283428
309,0.6260400390624999,0.03493408203125,78.088,39.21916592687815,10.4,5.71314274283428
310,0.6805908203125,0.057116699218750004,77.884,39.15698946548368,10.6,5.851495535331118
311,0.6805908203125,0.03493408203125,76.87,38.909993574915944,11.0,6.099180272790763
312,0.6435400390625,0.01336669921875,77.036,38.94330730690449,10.8,5.946427498927402
313,0.6980908203125,0.01336669921875,68.22999999999999,41.028424293409074,12.0,6.723094525588644
