row_index,replicate_id,peak_mutiny,collapse_quarter
20.0,1,93.784,14.8
20.0,2,93.784,14.8
20.0,3,93.784,14.8
20.0,4,93.784,14.8
21.0,0,93.784,14.8
21.0,1,93.784,14.8
21.0,2,93.784,14.8
21.0,3,93.784,14.8
21.0,4,93.784,14.8
22.0,0,92.214,15.6
22.0,1,92.214,15.6
22.0,2,92.214,15.6
22.0,3,92.214,15.6
22.0,4,92.214,15.6
23.0,0,93.958,15.0
23.0,1,93.958,15.0
23.0,2,93.958,15.0
23.0,3,93.958,15.0
23.0,4,93.958,15.0
24.0,0,64.95599999999999,14.0
24.0,1,64.95599999999999,14.0
24.0,2,64.95599999999999,14.0
24.0,3,64.95599999999999,14.0
24.0,4,64.95599999999999,14.0
25.0,0,65.19200000000001,14.2
25.0,1,65.19200000000001,14.2
25.0,2,65.19200000000001,14.2
25.0,3,65.19200000000001,14.2
25.0,4,65.19200000000001,14.2
26.0,0,91.664,15.0
26.0,1,91.664,15.0
26.0,2,91.664,15.0
26.0,3,91.664,15.0
26.0,4,91.664,15.0
27.0,0,36.922,9.0
27.0,1,36.922,9.0
27.0,2,36.922,9.0
27.0,3,36.922,9.0
27.0,4,36.922,9.0
28.0,0,66.24600000000001,13.4
28.0,1,66.24600000000001,13.4
28.0,2,66.24600000000001,13.4
28.0,3,66.24600000000001,13.4
28.0,4,66.24600000000001,13.4
29.0,0,92.42,14.0
29.0,1,92.42,14.0
29.0,2,92.42,14.0
29.0,3,92.42,14.0
29.0,4,92.42,14.0
30.0,0,94.562,15.0
30.0,1,94.562,15.0
30.0,2,94.562,15.0
30.0,3,94.562,15.0
30.0,4,94.562,15.0
31.0,0,92.538,15.4
31.0,1,92.538,15.4
31.0,2,92.538,15.4
31.0,3,92.538,15.4
31.0,4,92.538,15.4
32.0,0,54.576,13.6
32.0,1,54.576,13.6
32.0,2,54.576,13.6
32.0,3,54.576,13.6
32.0,4,54.576,13.6
33.0,0,94.562,15.0
33.0,1,94.562,15.0
33.0,2,94.562,15.0
33.0,3,94.562,15.0
33.0,4,94.562,15.0
34.0,0,94.106,14.6
34.0,1,94.106,14.6
34.0,2,94.106,14.6
34.0,3,94.106,14.6
34.0,4,94.106,14.6
35.0,0,70.19000000000001,14.8
35.0,1,70.19000000000001,14.8
35.0,2,70.19000000000001,14.8
35.0,3,70.19000000000001,14.8
35.0,4,70.19000000000001,14.8
36.0,0,86.90599999999999,14.0
36.0,1,86.90599999999999,14.0
36.0,2,86.90599999999999,14.0
36.0,3,86.90599999999999,14.0
36.0,4,86.90599999999999,14.0
