row_index,replicate_id,timestamp,universe_id,model_version,w1_energy,w2_drought,w3_rebellion,w4_policy,w5_social,despair_rate,rebellion_sentence_weight,natural_death_rate_quarterly,threshold,intervention_type,intervention_quarter,intervention_threshold,intervention_coverage,intervention_applied,n_promoted,mean_despair_pre,mean_despair_post,drought_enabled,n_voyages_sampled,n_agents,total_gdp,peak_mutiny,collapse_quarter,final_mortality
3351,0,1786275540227,sobol_3351_0,v1,0.0529,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.597,0,8,28.64,0.947,1,2703,6.961,4.532,1,30,5645,133935.8,100.0,13,52.05
3351,1,1786275542480,sobol_3351_1,v1,0.0529,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.597,1,8,98.5,0.947,1,5440,7.0,0.0,0,30,5601,322157.3,0.0,-1,13.03
3351,2,1786275544682,sobol_3351_2,v1,0.0529,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.597,0,8,36.98,0.947,1,4128,7.0,3.768,0,30,6489,306749.6,31.24,15,8.66
3351,3,1786275546991,sobol_3351_3,v1,0.0529,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.597,0,8,50.6,0.947,1,4392,7.0,3.514,0,30,6470,316101.8,29.34,15,14.81
3351,4,1786275548490,sobol_3351_4,v1,0.0529,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.597,1,8,93.52,0.947,1,5831,7.0,0.678,1,30,6536,180203.5,100.0,25,90.93
3352,0,1786275537595,sobol_3352_0,v1,0.0529,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.716,0,8,28.64,0.944,1,4038,7.0,3.364,1,30,5645,151943.9,100.0,14,74.99
3352,1,1786275539799,sobol_3352_1,v1,0.0529,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.716,1,8,98.5,0.944,1,5440,7.0,0.0,0,30,5601,322157.3,0.0,-1,13.03
3352,2,1786275542055,sobol_3352_2,v1,0.0529,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.716,0,8,36.98,0.944,1,4119,7.0,3.775,0,30,6489,344775.3,30.88,17,8.83
3352,3,1786275544465,sobol_3352_3,v1,0.0529,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.716,0,8,50.6,0.944,1,4383,7.0,3.521,0,30,6470,341720.1,25.34,18,14.81
3352,4,1786275545832,sobol_3352_4,v1,0.0529,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.716,1,8,93.52,0.944,1,6456,7.0,0.0,1,30,6536,188204.7,0.0,-1,100.0
3353,0,1786275547392,sobol_3353_0,v1,0.0233,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.716,0,18,28.64,0.947,1,0,15.403,15.403,1,30,5645,143826.3,100.0,15,9.39
3353,1,1786275549162,sobol_3353_1,v1,0.0233,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.716,1,18,98.5,0.947,1,4615,17.0,2.102,0,30,5601,319607.0,12.36,-1,13.02
3353,2,1786275551025,sobol_3353_2,v1,0.0233,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.716,0,18,36.98,0.947,1,3413,17.0,8.786,0,30,6489,372357.8,9.6,-1,8.71
3353,3,1786275547398,sobol_3353_3,v1,0.0233,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.716,0,18,50.6,0.947,1,3705,17.0,7.822,0,30,6470,365229.3,0.0,-1,14.65
3353,4,1786275548840,sobol_3353_4,v1,0.0233,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.716,1,18,93.52,0.947,1,0,15.608,15.608,1,30,6536,169581.9,100.0,15,9.65
3354,0,1786275550168,sobol_3354_0,v1,0.0179,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.667,0,24,28.64,0.594,1,410,15.102,14.118,1,30,5645,140729.8,100.0,14,15.16
3354,1,1786275551165,sobol_3354_1,v1,0.0179,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.667,1,24,98.5,0.594,1,0,17.76,17.76,0,30,5601,175409.8,85.25,16,13.07
3354,2,1786275552959,sobol_3354_2,v1,0.0179,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.667,0,24,36.98,0.594,1,0,15.549,15.549,0,30,6489,266771.2,74.25,18,8.43
3354,3,1786275554439,sobol_3354_3,v1,0.0179,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.667,0,24,50.6,0.594,1,0,2.351,2.351,0,30,6470,357396.4,12.06,-1,14.57
3354,4,1786275555595,sobol_3354_4,v1,0.0179,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.667,1,24,93.52,0.594,1,0,15.742,15.742,1,30,6536,168194.6,100.0,15,7.79
3355,0,1786275556155,sobol_3355_0,v1,0.0583,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.667,0,24,28.64,0.594,1,410,13.911,13.016,1,30,5645,133046.5,100.0,13,8.27
3355,1,1786275546645,sobol_3355_1,v1,0.0583,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.667,1,24,98.5,0.594,1,0,16.297,16.297,0,30,5601,158774.7,88.37,15,13.03
3355,2,1786275548230,sobol_3355_2,v1,0.0583,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.667,0,24,36.98,0.594,1,0,17.14,17.14,0,30,6489,229703.3,94.3,16,8.77
3355,3,1786275550014,sobol_3355_3,v1,0.0583,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.667,0,24,50.6,0.594,1,0,17.784,17.784,0,30,6470,257135.8,90.24,16,14.5
3355,4,1786275551082,sobol_3355_4,v1,0.0583,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.667,1,24,93.52,0.594,1,0,13.911,13.911,1,30,6536,155705.4,100.0,13,5.75
3356,0,1786275552384,sobol_3356_0,v1,0.0179,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.667,0,34,28.64,0.594,1,326,16.121,15.245,1,30,5645,141125.0,100.0,14,8.64
3356,1,1786275553297,sobol_3356_1,v1,0.0179,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.667,1,34,98.5,0.594,1,0,19.423,19.423,0,30,5601,175367.2,85.25,16,13.14
3356,2,1786275554639,sobol_3356_2,v1,0.0179,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.667,0,34,36.98,0.594,1,0,17.756,17.756,0,30,6489,266830.7,74.25,18,8.71
3356,3,1786275555979,sobol_3356_3,v1,0.0179,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.667,0,34,50.6,0.594,1,0,2.838,2.838,0,30,6470,357565.1,12.06,-1,14.64
3356,4,1786275546857,sobol_3356_4,v1,0.0179,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.667,1,34,93.52,0.594,1,0,16.714,16.714,1,30,6536,168182.0,100.0,15,7.56
3357,0,1786275548061,sobol_3357_0,v1,0.0179,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.667,0,24,28.64,0.597,1,412,15.102,14.11,1,30,5645,140745.1,100.0,14,15.08
3357,1,1786275549410,sobol_3357_1,v1,0.0179,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.667,1,24,98.5,0.597,1,0,17.76,17.76,0,30,5601,175409.8,85.25,16,13.07
3357,2,1786275551024,sobol_3357_2,v1,0.0179,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.667,0,24,36.98,0.597,1,0,15.549,15.549,0,30,6489,266771.2,74.25,18,8.43
3357,3,1786275553095,sobol_3357_3,v1,0.0179,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.667,0,24,50.6,0.597,1,0,2.351,2.351,0,30,6470,357396.4,12.06,-1,14.57
3357,4,1786275553881,sobol_3357_4,v1,0.0179,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.667,1,24,93.52,0.597,1,0,15.742,15.742,1,30,6536,168194.6,100.0,15,7.79
3358,0,1786275555046,sobol_3358_0,v1,0.0179,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.646,0,24,28.64,0.594,1,410,14.712,13.757,1,30,5645,138465.2,100.0,14,15.11
3358,1,1786275555740,sobol_3358_1,v1,0.0179,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.646,1,24,98.5,0.594,1,0,16.892,16.892,0,30,5601,165676.7,84.64,15,13.78
3358,2,1786275549543,sobol_3358_2,v1,0.0179,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.646,0,24,36.98,0.594,1,0,18.482,18.482,0,30,6489,213326.8,84.22,17,8.63
3358,3,1786275551091,sobol_3358_3,v1,0.0179,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.646,0,24,50.6,0.594,1,0,9.906,9.906,0,30,6470,316768.4,48.56,19,14.67
